id,imdb_id,title,original_title,release_year,release_date,runtime_minutes,genres,production_companies,production_countries,spoken_languages,belongs_to_collection,popularity,vote_average,vote_count,budget,revenue,overview,tagline,status,original_language,adult,video,keywords,has_mpst_synopsis
83564,tt1957945,La luna,La luna,2011,2011-01-01,7.0,"[""Animation"",""Family""]","[""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,7.331398,8.0,257,0,0,"A young boy comes of age in the most peculiar of circumstances. Tonight is the very first time his Papa and Grandpa are taking him to work. In an old wooden boat they row far out to sea, and with no land in sight, they stop and wait. A big surprise awaits the boy as he discovers his family's most unusual line of work. Should he follow the example of his Papa, or his Grandpa? Will he be able to find his own way in the midst of their conflicting opinions and timeworn traditions?",A young boy discovers his family's most unusual line of work.,Released,en,False,False,"[""moon"",""tradition"",""coming of age"",""discovery"",""short"",""pixar animation""]",False
88018,tt0020414,The Skeleton Dance,The Skeleton Dance,1929,1929-08-21,6.0,"[""Animation""]","[""Walt Disney Pictures"",""Celebrity Productions""]","[""United States of America""]","[""English"",""No Language""]",,1.310476,7.3,29,5485,0,"When night falls at a church cemetery, amidst howling dogs, hooting owls and fighting cats, four skeletons rise from their graves for macabre merriment. Dancing and playing music by using each other as instruments, the skeletons party until the rise of the sun, where they frantically rush back into their graves, forming a skeletal chimera to get back faster.",,Released,en,False,False,"[""silly symphony""]",True
92208,tt0250593,Mom's Got a Date With a Vampire,Mom's Got a Date With a Vampire,2000,2000-10-13,85.0,[],"[""Walt Disney Pictures""]","[""Canada"",""United States of America""]","[""English""]",,1.449806,5.4,24,0,0,"The Hansen kids are in a jam. Adam and his best friend Duffy have gotten their hands on some tickets for the Headless Horseman concert, and his sister Chelsea has a date with her dreamy boyfriend Peter. The only problem is they're both grounded. Chelsea and Adam will do whatever it takes to get their mom Lynette out of the house, even if it includes a chance meeting with a very mysterious man. Everything seems to go according to plan until their little brother Taylor realizes that this stranger might be a vampire.",,Released,en,False,False,[],True
101806,tt0024285,The Mad Doctor,The Mad Doctor,1933,1933-01-21,7.0,"[""Animation"",""Comedy"",""Family"",""Horror"",""Thriller""]","[""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",,1.85122,7.5,12,0,0,"A dark and stormy night. Pluto is spirited away to the spooky mansion of an evil genius for a mad transplant scheme to put his head on the body of a chicken. Mickey gives chase, but find himself threatened severely by the house and its denizens.",Mickey to the Rescue!,Released,en,False,False,"[""dream"",""mouse"",""castle"",""mickey mouse"",""mad doctor"",""anthropomorphism"",""transplant"",""cartoon mouse"",""pluto"",""horror for children"",""disney"",""short""]",False
102651,tt1587310,Maleficent,Maleficent,2014,2014-05-28,97.0,"[""Fantasy"",""Adventure"",""Action"",""Family"",""Romance""]","[""Walt Disney Pictures"",""Walt Disney Studios Motion Pictures"",""Roth Films""]","[""United States of America""]","[""English""]",,19.467404,7.0,4607,180000000,758539785,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",Don't believe the fairy tale.,Released,en,False,False,"[""fairy tale"",""villain"",""sleeping beauty"",""dark fantasy"",""based on fairy tale"",""adaptation"",""retelling"",""literary adaptation"",""3d""]",True
105325,tt1114718,How to Hook Up Your Home Theater,How to Hook Up Your Home Theater,2007,2007-12-21,6.0,"[""Animation"",""Comedy""]","[""Walt Disney Pictures"",""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",,2.325702,7.8,17,0,0,"Goofy tries to set up his new home theater in time for the big game, with disastrous results.",,Released,en,False,False,"[""home"",""technology"",""shopping"",""disney short"",""mall"",""installation"",""watching tv"",""goofy"",""delivery""]",False
105864,tt1979388,The Good Dinosaur,The Good Dinosaur,2015,2015-11-14,93.0,"[""Adventure"",""Animation"",""Family""]","[""Walt Disney Pictures"",""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,12.319595,6.6,1782,175000000,331926147,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Little Arms With Big Attitude,Released,en,False,False,"[""tyrannosaurus rex"",""friends"",""alternate history"",""dinosaur"",""fear"",""storm"",""nature"",""human"",""journey""]",True
105965,tt2224075,Beverly Hills Chihuahua 3 - Viva La Fiesta!,Beverly Hills Chihuahua 3 - Viva La Fiesta!,2012,2012-09-03,89.0,"[""Comedy"",""Family""]","[""Walt Disney Pictures""]","[""United States of America""]","[""Nederlands"",""English"",""Deutsch"",""svenska""]",Beverly Hills Chihuahua Collection,4.01161,5.8,33,0,0,"When Papi &amp; co move into a luxurious hotel, his youngest pup Rosa feels neglected and he must show her how special she is.",Family Always Matters,Released,en,False,False,[],False
106112,tt0022899,Flowers and Trees,Flowers and Trees,1932,1932-07-30,8.0,"[""Animation""]","[""Walt Disney Pictures"",""United Artists Pictures""]","[""United States of America""]","[""English""]",,0.953016,6.9,16,15887,0,Flowers and trees dance to the music in this Silly Symphony.,,Released,en,False,False,"[""silly symphony""]",False
109445,tt2294629,Frozen,Frozen,2013,2013-11-27,102.0,"[""Animation"",""Adventure"",""Family""]","[""Walt Disney Pictures"",""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",Frozen Collection,24.248243,7.3,5440,150000000,1274219009,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",Only the act of true love will thaw a frozen heart.,Released,en,False,False,"[""queen"",""musical"",""princess"",""betrayal"",""snowman"",""animation"",""reindeer"",""curse"",""snow"",""troll"",""mountain climber"",""aftercreditsstinger"",""woman director"",""3d""]",True
